"Date","Latitude","Longitude","Matrix","Subregion","cadmium","copper","mercury","selenium"
1996-01-11,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,0.96
1996-01-17,38.434929,-121.525161743164,"water","Sacramento River",0.009,1.27,0.0019,NA
1996-01-17,38.459202,-121.50309753418,"water","Sacramento River",0.03,3.77,0.0102,NA
1996-01-18,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,1.56
1996-01-25,37.675556,-121.264167785645,"water","South Delta",NA,4,NA,2.17
1996-02-02,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,1
1996-02-13,38.050999,-122.098999023438,"water","SW Suisun",0.008,1.89,0.00257,0.119
1996-02-13,38.116001,-122.040000915527,"water","NW Suisun",0.03,1.82,0.00178,0.138
1996-02-14,38.020542,-121.806266784668,"water","Confluence",0.01,2.19,0.00568,0.132
1996-02-14,38.0597,-121.811264038086,"water","Confluence",0.007,1.61,0.00189,0.157
1996-02-14,38.067001,-121.93399810791,"water","NE Suisun",0.03,1.76,0.00131,0.124
1996-02-16,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,1.16
1996-02-20,38.434929,-121.525161743164,"water","Sacramento River",0.03,1.24,0.0169,NA
1996-02-20,38.459202,-121.50309753418,"water","Sacramento River",0.01,4.31,0.00142,NA
1996-02-22,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,0.66
1996-03-01,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,0.79
1996-03-04,38.459202,-121.50309753418,"water","Sacramento River",0.04,1.56,0.00993,NA
1996-03-08,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,0.41
1996-03-18,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,0.65
1996-03-19,38.434929,-121.525161743164,"water","Sacramento River",0.009,5.17,0.00842,NA
1996-03-19,38.459202,-121.50309753418,"water","Sacramento River",0.045,1.27,0.00323,NA
1996-03-21,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,0.64
1996-03-28,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,0.88
1996-04-03,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,0.9
1996-04-12,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,0.92
1996-04-19,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,1.18
1996-04-23,38.020542,-121.806266784668,"water","Confluence",0.007,1.22,0.00059,0.16
1996-04-23,38.0597,-121.811264038086,"water","Confluence",0.007,0.92,0.00307,0.055
1996-04-23,38.434929,-121.525161743164,"water","Sacramento River",0.018,1.1,0.00078,NA
1996-04-23,38.459202,-121.50309753418,"water","Sacramento River",0.015,1.04,0.0012,NA
1996-04-24,38.050999,-122.098999023438,"water","SW Suisun",0.008,1.18,0.00089,0.122
1996-04-24,38.067001,-121.93399810791,"water","NE Suisun",0.02,2.11,0.00065,0.113
1996-04-24,38.116001,-122.040000915527,"water","NW Suisun",0.007,2.8,0.00105,0.135
1996-04-25,37.675556,-121.264167785645,"water","South Delta",NA,5,NA,1.37
1996-05-03,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,1.24
1996-05-10,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,0.6
1996-05-16,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,0.88
1996-05-21,38.434929,-121.525161743164,"water","Sacramento River",0.011,4.08,0.00236,NA
1996-05-21,38.459202,-121.50309753418,"water","Sacramento River",0.031,0.99,0.00167,NA
1996-05-24,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,0.1
1996-05-30,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,0.97
1996-06-06,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,1.46
1996-06-13,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,1.72
1996-06-18,38.434929,-121.525161743164,"water","Sacramento River",0.012,2.39,0.00124,NA
1996-06-18,38.459202,-121.50309753418,"water","Sacramento River",0.024,2.49,0.00347,NA
1996-06-19,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,1.44
1996-06-27,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,2.48
1996-07-02,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,2.61
