"Date","Latitude","Longitude","Matrix","Subregion","fipronil","fipronil_desulfinyl","fipronil_desulfinyl_amide","fipronil_sulfide","fipronil_sulfone"
2006-04-25,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2006-04-26,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2006-05-11,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2006-05-25,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2006-06-06,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2006-06-14,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2006-06-22,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2006-07-05,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2006-07-17,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2006-08-01,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2006-08-09,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2006-09-19,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2006-10-12,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2006-10-19,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2006-11-20,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2006-11-21,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2006-12-14,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2006-12-18,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2006-12-28,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2007-01-09,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2007-01-23,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2007-02-06,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2007-02-07,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2007-02-20,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2007-02-21,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2007-03-13,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2007-03-27,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2007-03-28,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2007-04-12,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2007-04-24,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2007-04-30,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2007-05-08,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2007-05-09,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2007-05-22,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2007-05-23,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2007-06-05,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2007-06-06,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2007-06-19,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2007-06-20,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2007-07-02,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2007-07-05,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
