"Date","Latitude","Longitude","Matrix","Subregion","esfenvalerate","cyfluthrin","bifenthrin"
2008-10-02,38.09433,-121.47504,"water","Central Delta",0,0,0
2008-10-02,38.2089,-121.65515,"water","North Delta",0,0,0
2008-10-02,38.2283,-121.49013,"water","Central Delta",0,0,0
2008-10-02,38.34372,-121.56122,"water","Sacramento River",0,0,0
2008-10-29,38.45602,-121.50134,"water","Sacramento River",NA,0,NA
2008-11-01,38.47339,-121.50476,"water","Sacramento River",0,0.00378,0.02237
2008-11-01,38.47831,-121.54359,"water","Sacramento River",0,0,0
2008-12-09,38.45602,-121.50134,"water","Sacramento River",NA,0,NA
2008-12-22,38.45602,-121.50134,"water","Sacramento River",NA,0,NA
2009-01-06,38.45602,-121.50134,"water","Sacramento River",NA,0,NA
2009-01-22,37.78697,-121.30758,"water","South Delta",0,0,0
2009-01-22,37.92901,-121.32747,"water","Central Delta",0,0,0
2009-01-22,37.95559,-121.34626,"water","Central Delta",0,0,0
2009-01-22,37.96722,-121.46465,"water","Central Delta",0,0,0
2009-01-22,37.97183,-121.37362,"water","Central Delta",0,0,0
2009-01-22,37.9959,-121.44434,"water","Central Delta",0,0,0
2009-01-23,37.89051,-121.56824,"water","Central Delta",0,0,0
2009-01-23,38.05986,-121.49934,"water","Central Delta",0,0,0
2009-01-23,38.09433,-121.47504,"water","Central Delta",0,0,0
2009-01-23,38.2089,-121.65515,"water","North Delta",0,0,0
2009-01-23,38.2283,-121.49013,"water","Central Delta",0,0,0
2009-01-23,38.34372,-121.56122,"water","Sacramento River",0,0,0
2009-01-26,38.45602,-121.50134,"water","Sacramento River",NA,0,NA
2009-02-05,38.45602,-121.50134,"water","Sacramento River",NA,0,NA
2009-02-17,37.89051,-121.56824,"water","Central Delta",0.01012,0,0
2009-02-17,37.96722,-121.46465,"water","Central Delta",0,0,0
2009-02-17,38.09433,-121.47504,"water","Central Delta",0,0,0.003006
2009-02-17,38.1121,-121.61356,"water","Central Delta",0,0,0.00584
2009-02-17,38.2089,-121.65515,"water","North Delta",0,0,0
2009-02-17,38.2283,-121.49013,"water","Central Delta",0,0,0
2009-02-17,38.34372,-121.56122,"water","Sacramento River",0,0,0
2009-02-18,37.78697,-121.30758,"water","South Delta",0,0,0
2009-02-18,38.38312,-121.52057,"water","Sacramento River",0,0,0
2009-02-18,38.47339,-121.50476,"water","Sacramento River",0,0.006868,0.003799
2009-02-18,38.56006,-121.51636,"water","Sacramento River",0,0,0
2009-02-25,38.45602,-121.50134,"water","Sacramento River",NA,0,NA
2009-04-08,37.89051,-121.56824,"water","Central Delta",0,0,0
2009-04-08,37.96722,-121.46465,"water","Central Delta",0,0,0
2009-04-08,38.05986,-121.49934,"water","Central Delta",0,0,0
2009-04-08,38.09433,-121.47504,"water","Central Delta",0,0,0
2009-04-08,38.1121,-121.61356,"water","Central Delta",0,0,0
2009-04-08,38.2089,-121.65515,"water","North Delta",0,0,0
2009-04-08,38.2283,-121.49013,"water","Central Delta",0,0,0
2009-04-21,38.45602,-121.50134,"water","Sacramento River",NA,0,NA
2009-05-21,38.45602,-121.50134,"water","Sacramento River",NA,0,NA
2009-06-24,38.45602,-121.50134,"water","Sacramento River",NA,0,NA
2009-08-26,38.45602,-121.50134,"water","Sacramento River",NA,0,NA
2009-10-06,38.4347,-121.5192,"water","Sacramento River",0,0,0
2009-10-06,38.459202,-121.5030975,"water","Sacramento River",0,0,0
2009-10-13,38.459202,-121.5030975,"water","Sacramento River",0,0,0
2009-11-18,38.45602,-121.50134,"water","Sacramento River",NA,0,NA
2009-12-03,38.45602,-121.50134,"water","Sacramento River",NA,0,NA
2009-12-11,38.459202,-121.5030975,"water","Sacramento River",0,0,0
2009-12-16,38.45602,-121.50134,"water","Sacramento River",NA,0,NA
2010-01-06,38.05986,-121.49934,"water","Central Delta",0,0,0
2010-01-06,38.1121,-121.61356,"water","Central Delta",0,0,0
2010-01-06,38.2089,-121.65515,"water","North Delta",0,0,0
2010-01-06,38.2283,-121.49013,"water","Central Delta",0,0,0
2010-01-14,38.45602,-121.50134,"water","Sacramento River",NA,0,NA
2010-01-18,38.459202,-121.5030975,"water","Sacramento River",0,0,0
2010-01-27,38.05986,-121.49934,"water","Central Delta",0,0,0
2010-01-27,38.1121,-121.61356,"water","Central Delta",0,0,0
2010-01-27,38.2089,-121.65515,"water","North Delta",0,0,0
2010-01-27,38.2283,-121.49013,"water","Central Delta",0,0,0
2010-01-27,38.45602,-121.50134,"water","Sacramento River",NA,0,NA
2010-02-03,38.45602,-121.50134,"water","Sacramento River",NA,0,NA
2010-02-10,38.05986,-121.49934,"water","Central Delta",0,0,0
2010-02-10,38.1121,-121.61356,"water","Central Delta",0,0,0
2010-02-10,38.2089,-121.65515,"water","North Delta",0,0,0
2010-02-10,38.2283,-121.49013,"water","Central Delta",0,0,0
2010-02-23,38.05986,-121.49934,"water","Central Delta",0,0,0
2010-02-23,38.1121,-121.61356,"water","Central Delta",0,0,0
2010-02-23,38.2089,-121.65515,"water","North Delta",0,0,0
2010-02-23,38.2283,-121.49013,"water","Central Delta",0,0,0
2010-03-03,38.05986,-121.49934,"water","Central Delta",0,0,0
2010-03-03,38.1121,-121.61356,"water","Central Delta",0,0,0
2010-03-03,38.2089,-121.65515,"water","North Delta",0,0,0
2010-03-03,38.2283,-121.49013,"water","Central Delta",0,0,0
2010-03-04,38.45602,-121.50134,"water","Sacramento River",NA,0,NA
2010-03-10,38.05986,-121.49934,"water","Central Delta",0,0,0
2010-03-10,38.1121,-121.61356,"water","Central Delta",0,0,0
2010-03-10,38.2089,-121.65515,"water","North Delta",0,0,0
2010-03-10,38.2283,-121.49013,"water","Central Delta",0,0,0
2010-03-16,38.05986,-121.49934,"water","Central Delta",0,0,0
