"Date","Latitude","Longitude","Matrix","Subregion","atrazine","imidacloprid","glyphosate","clothianidin"
1992-01-05,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1992-01-06,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
1992-01-08,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
1992-01-09,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1992-01-13,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1992-01-17,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1992-01-17,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
1992-01-20,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
1992-01-21,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1992-02-04,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1992-02-05,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
1992-02-10,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1992-02-10,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
1992-02-18,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1992-02-19,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
1992-02-24,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
1992-02-26,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1992-02-26,38.58631,-121.50537,"water","Sacramento River",0.031,NA,NA,NA
1992-02-28,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1992-02-28,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
1992-03-01,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1992-03-03,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1992-03-09,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
1992-03-13,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1992-03-16,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
1992-03-19,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1992-03-23,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1992-03-29,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1992-03-30,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
1992-03-31,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1992-04-01,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
1992-04-03,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
1992-04-10,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
1992-04-13,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
1992-04-14,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1992-04-20,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
