"Subregion","Season","Copper_ppb","Analyte","Unit"
"Sacramento River","Fall",0.99,"copper","ug/L"
"Sacramento River","Fall",1.2,"copper","ug/L"
"Sacramento River","Fall",1.1,"copper","ug/L"
"South Delta","Fall",0.53,"copper","ug/L"
"Central Delta","Fall",0.4,"copper","ug/L"
"South Delta","Winter",1.2,"copper","ug/L"
"Central Delta","Winter",0.77,"copper","ug/L"
"Sacramento River","Winter",1.2,"copper","ug/L"
"North Delta","Winter",2.85,"copper","ug/L"
"Central Delta","Winter",2.64,"copper","ug/L"
"Central Delta","Winter",2.08,"copper","ug/L"
"Central Delta","Winter",2.13,"copper","ug/L"
"Central Delta","Winter",2.8,"copper","ug/L"
"South Delta","Winter",1.2,"copper","ug/L"
"Central Delta","Winter",2.8,"copper","ug/L"
"Sacramento River","Winter",2.4,"copper","ug/L"
"North Delta","Winter",7.65,"copper","ug/L"
"Central Delta","Winter",2.57,"copper","ug/L"
"Central Delta","Winter",20.9,"copper","ug/L"
"Central Delta","Winter",3.86,"copper","ug/L"
"Central Delta","Winter",0.83,"copper","ug/L"
"Central Delta","Winter",2.1,"copper","ug/L"
"South Delta","Winter",0.99,"copper","ug/L"
"Central Delta","Winter",3.8,"copper","ug/L"
"North Delta","Winter",6.51,"copper","ug/L"
"Central Delta","Winter",3.25,"copper","ug/L"
"Central Delta","Winter",2.36,"copper","ug/L"
"Sacramento River","Winter",5.8,"copper","ug/L"
"Sacramento River","Winter",2.1,"copper","ug/L"
"Central Delta","Winter",1.67,"copper","ug/L"
"Central Delta","Winter",2.08,"copper","ug/L"
"Central Delta","Winter",2.68,"copper","ug/L"
"North Delta","Winter",5.2,"copper","ug/L"
"Central Delta","Spring",16.8,"copper","ug/L"
"Central Delta","Spring",3.38,"copper","ug/L"
"Central Delta","Spring",1.68,"copper","ug/L"
"North Delta","Spring",5.89,"copper","ug/L"
"Central Delta","Spring",3.23,"copper","ug/L"
"Central Delta","Spring",2.08,"copper","ug/L"
"Central Delta","Spring",5.15,"copper","ug/L"
"North Delta","Spring",5.43,"copper","ug/L"
"Central Delta","Spring",2.87,"copper","ug/L"
"Central Delta","Spring",1.45,"copper","ug/L"
"Central Delta","Spring",6.6,"copper","ug/L"
"Central Delta","Spring",2.8,"copper","ug/L"
"Central Delta","Spring",0.56,"copper","ug/L"
"South Delta","Spring",1.2,"copper","ug/L"
"Central Delta","Spring",1.43,"copper","ug/L"
"Central Delta","Spring",2.25,"copper","ug/L"
"Central Delta","Spring",3.2,"copper","ug/L"
"South Delta","Spring",1.2,"copper","ug/L"
"Central Delta","Spring",1.4,"copper","ug/L"
"Central Delta","Spring",0.95,"copper","ug/L"
"Central Delta","Spring",2.7,"copper","ug/L"
"Central Delta","Spring",1.1,"copper","ug/L"
"Central Delta","Spring",15,"copper","ug/L"
"South Delta","Spring",1.39,"copper","ug/L"
"Central Delta","Summer",0.56,"copper","ug/L"
"South Delta","Summer",4.41,"copper","ug/L"
"Central Delta","Summer",1.6,"copper","ug/L"
"Central Delta","Summer",1.6,"copper","ug/L"
"Sacramento River","Summer",1.2,"copper","ug/L"
"Sacramento River","Summer",1.1,"copper","ug/L"
"Central Delta","Summer",2.5,"copper","ug/L"
"South Delta","Summer",0.46,"copper","ug/L"
"Central Delta","Summer",65,"copper","ug/L"
"Central Delta","Summer",0.25,"copper","ug/L"
"Central Delta","Summer",40,"copper","ug/L"
"Central Delta","Summer",2.2,"copper","ug/L"
"Central Delta","Summer",1.8,"copper","ug/L"
"South Delta","Summer",2,"copper","ug/L"
"Confluence","Fall",1.35,"copper","ug/L"
"Confluence","Fall",2.5,"copper","ug/L"
"Central Delta","Fall",1.1,"copper","ug/L"
"Central Delta","Fall",32,"copper","ug/L"
"South Delta","Fall",3,"copper","ug/L"
"Central Delta","Fall",1.8,"copper","ug/L"
"Sacramento River","Fall",0.91,"copper","ug/L"
"Sacramento River","Fall",1.1,"copper","ug/L"
"Central Delta","Fall",0.36,"copper","ug/L"
"South Delta","Fall",1.5,"copper","ug/L"
"Central Delta","Fall",1.4,"copper","ug/L"
"Sacramento River","Fall",0.87,"copper","ug/L"
"Central Delta","Fall",1.2,"copper","ug/L"
"Central Delta","Fall",1.4,"copper","ug/L"
"South Delta","Fall",2.1,"copper","ug/L"
"Sacramento River","Winter",0.9,"copper","ug/L"
"Central Delta","Winter",1.5,"copper","ug/L"
"South Delta","Winter",1.9,"copper","ug/L"
"Central Delta","Winter",1.9,"copper","ug/L"
"Central Delta","Winter",0.81,"copper","ug/L"
"Central Delta","Winter",1.1,"copper","ug/L"
"Sacramento River","Winter",6.7,"copper","ug/L"
"Sacramento River","Winter",1.1,"copper","ug/L"
"Central Delta","Spring",4.6,"copper","ug/L"
"North Delta","Spring",2.4,"copper","ug/L"
"Sacramento River","Spring",5.4,"copper","ug/L"
"North Delta","Spring",3.7,"copper","ug/L"
"Confluence","Spring",2.92,"copper","ug/L"
"Confluence","Spring",0.09,"copper","ug/L"
"Central Delta","Spring",0.34,"copper","ug/L"
"Confluence","Spring",1.5,"copper","ug/L"
"Confluence","Spring",2.01,"copper","ug/L"
"Sacramento River","Spring",1,"copper","ug/L"
"Sacramento River","Spring",2.2,"copper","ug/L"
"North Delta","Spring",1.6,"copper","ug/L"
"North Delta","Spring",2.7,"copper","ug/L"
"Confluence","Spring",2.56,"copper","ug/L"
"Confluence","Spring",2.34,"copper","ug/L"
"Confluence","Spring",1.46,"copper","ug/L"
"Confluence","Spring",1.35,"copper","ug/L"
"Confluence","Spring",1.32,"copper","ug/L"
