"Subregion","Season","Turbidity_NTU","Analyte","Unit"
"Central Delta","Winter",45,"turbidity","NTU"
"Central Delta","Winter",9.5,"turbidity","NTU"
"North Delta","Winter",2,"turbidity","NTU"
"Sacramento River","Winter",20,"turbidity","NTU"
"North Delta","Winter",28,"turbidity","NTU"
"Central Delta","Winter",2.58,"turbidity","NTU"
"Sacramento River","Winter",23.5,"turbidity","NTU"
"North Delta","Winter",6.2,"turbidity","NTU"
"Sacramento River","Winter",25,"turbidity","NTU"
"North Delta","Winter",1.7,"turbidity","NTU"
"Central Delta","Winter",6.4,"turbidity","NTU"
"Central Delta","Winter",75,"turbidity","NTU"
"South Delta","Winter",1.2,"turbidity","NTU"
"Central Delta","Winter",34,"turbidity","NTU"
"Central Delta","Spring",18,"turbidity","NTU"
"Central Delta","Spring",5,"turbidity","NTU"
"South Delta","Spring",5,"turbidity","NTU"
"Central Delta","Spring",34,"turbidity","NTU"
"North Delta","Spring",8.8,"turbidity","NTU"
"Sacramento River","Spring",30,"turbidity","NTU"
"North Delta","Spring",15,"turbidity","NTU"
"Central Delta","Spring",38,"turbidity","NTU"
"South Delta","Spring",13,"turbidity","NTU"
"Central Delta","Spring",65,"turbidity","NTU"
"Sacramento River","Spring",14,"turbidity","NTU"
"North Delta","Spring",25,"turbidity","NTU"
"North Delta","Spring",22,"turbidity","NTU"
"Sacramento River","Spring",27,"turbidity","NTU"
"Sacramento River","Spring",9.3,"turbidity","NTU"
"North Delta","Spring",29,"turbidity","NTU"
"Central Delta","Spring",17,"turbidity","NTU"
"South Delta","Spring",16,"turbidity","NTU"
"Sacramento River","Spring",33,"turbidity","NTU"
"North Delta","Spring",40,"turbidity","NTU"
"Central Delta","Spring",65,"turbidity","NTU"
"Sacramento River","Summer",6.1,"turbidity","NTU"
"South Delta","Summer",9.6,"turbidity","NTU"
"North Delta","Summer",17,"turbidity","NTU"
"Central Delta","Summer",17,"turbidity","NTU"
"Sacramento River","Summer",30,"turbidity","NTU"
"North Delta","Summer",70,"turbidity","NTU"
"Central Delta","Summer",29,"turbidity","NTU"
"South Delta","Summer",14,"turbidity","NTU"
"South Delta","Summer",7.7,"turbidity","NTU"
"Central Delta","Summer",8.1,"turbidity","NTU"
"Central Delta","Summer",40,"turbidity","NTU"
"Sacramento River","Summer",50,"turbidity","NTU"
"North Delta","Summer",55,"turbidity","NTU"
"North Delta","Summer",12,"turbidity","NTU"
"Central Delta","Summer",11,"turbidity","NTU"
"North Delta","Summer",12,"turbidity","NTU"
"North Delta","Summer",24,"turbidity","NTU"
"Central Delta","Summer",11,"turbidity","NTU"
"South Delta","Summer",5.6,"turbidity","NTU"
"Central Delta","Summer",6.1,"turbidity","NTU"
"Sacramento River","Summer",35,"turbidity","NTU"
"Central Delta","Summer",37,"turbidity","NTU"
"Central Delta","Summer",3.46,"turbidity","NTU"
"Sacramento River","Summer",8.19,"turbidity","NTU"
"Sacramento River","Fall",37,"turbidity","NTU"
"North Delta","Fall",2.6,"turbidity","NTU"
"Central Delta","Fall",11,"turbidity","NTU"
"South Delta","Fall",5.4,"turbidity","NTU"
"Central Delta","Fall",2.8,"turbidity","NTU"
"Central Delta","Fall",6.3,"turbidity","NTU"
"Central Delta","Fall",3.3,"turbidity","NTU"
"Central Delta","Fall",3.6,"turbidity","NTU"
"South Delta","Fall",4,"turbidity","NTU"
"Central Delta","Fall",40,"turbidity","NTU"
"Sacramento River","Fall",37,"turbidity","NTU"
"Sacramento River","Fall",3.31,"turbidity","NTU"
"Central Delta","Fall",1.43,"turbidity","NTU"
"North Delta","Fall",12,"turbidity","NTU"
"South Delta","Fall",3.9,"turbidity","NTU"
"North Delta","Fall",8.6,"turbidity","NTU"
"Central Delta","Fall",4,"turbidity","NTU"
"Sacramento River","Fall",22,"turbidity","NTU"
"Central Delta","Fall",4.8,"turbidity","NTU"
"Central Delta","Fall",95,"turbidity","NTU"
"Sacramento River","Fall",8.4,"turbidity","NTU"
"North Delta","Winter",6.6,"turbidity","NTU"
"North Delta","Winter",13,"turbidity","NTU"
"Sacramento River","Winter",29,"turbidity","NTU"
"Central Delta","Winter",7.3,"turbidity","NTU"
"Central Delta","Winter",8,"turbidity","NTU"
"Central Delta","Winter",5.8,"turbidity","NTU"
"South Delta","Winter",1.2,"turbidity","NTU"
"Sacramento River","Winter",17,"turbidity","NTU"
"North Delta","Winter",19,"turbidity","NTU"
"North Delta","Winter",10,"turbidity","NTU"
"Central Delta","Winter",13,"turbidity","NTU"
"Central Delta","Winter",15,"turbidity","NTU"
"South Delta","Winter",2.7,"turbidity","NTU"
"Central Delta","Winter",26,"turbidity","NTU"
"Central Delta","Winter",40,"turbidity","NTU"
"Central Delta","Winter",1.56,"turbidity","NTU"
"Sacramento River","Winter",3.97,"turbidity","NTU"
"Sacramento River","Winter",6.9,"turbidity","NTU"
"Sacramento River","Winter",33,"turbidity","NTU"
"North Delta","Winter",16,"turbidity","NTU"
"North Delta","Winter",65,"turbidity","NTU"
"Central Delta","Winter",8.4,"turbidity","NTU"
"Central Delta","Winter",32,"turbidity","NTU"
"Central Delta","Winter",33,"turbidity","NTU"
"Central Delta","Winter",15,"turbidity","NTU"
"South Delta","Winter",0.6,"turbidity","NTU"
"Sacramento River","Winter",8.3,"turbidity","NTU"
"Central Delta","Spring",24,"turbidity","NTU"
"Central Delta","Spring",4.5,"turbidity","NTU"
"South Delta","Spring",15,"turbidity","NTU"
"Central Delta","Spring",25,"turbidity","NTU"
"Central Delta","Spring",22,"turbidity","NTU"
"Sacramento River","Spring",30,"turbidity","NTU"
"North Delta","Spring",26,"turbidity","NTU"
"North Delta","Spring",7.3,"turbidity","NTU"
"North Delta","Spring",13,"turbidity","NTU"
"Sacramento River","Spring",26,"turbidity","NTU"
"North Delta","Spring",16,"turbidity","NTU"
"Central Delta","Spring",50,"turbidity","NTU"
"Central Delta","Spring",28,"turbidity","NTU"
"Central Delta","Spring",24,"turbidity","NTU"
"South Delta","Spring",45,"turbidity","NTU"
"Central Delta","Spring",55,"turbidity","NTU"
"Central Delta","Spring",1.49,"turbidity","NTU"
"Sacramento River","Spring",2.97,"turbidity","NTU"
"Sacramento River","Spring",6.4,"turbidity","NTU"
"North Delta","Spring",25,"turbidity","NTU"
"North Delta","Spring",6.1,"turbidity","NTU"
"Central Delta","Spring",14,"turbidity","NTU"
"Central Delta","Spring",17,"turbidity","NTU"
"Central Delta","Spring",33,"turbidity","NTU"
"South Delta","Spring",3.4,"turbidity","NTU"
"Sacramento River","Spring",26,"turbidity","NTU"
"Central Delta","Spring",40,"turbidity","NTU"
"Central Delta","Summer",5.1,"turbidity","NTU"
"Sacramento River","Summer",33,"turbidity","NTU"
"North Delta","Summer",45,"turbidity","NTU"
"South Delta","Summer",15,"turbidity","NTU"
"Central Delta","Summer",29,"turbidity","NTU"
"North Delta","Summer",4.1,"turbidity","NTU"
"Central Delta","Summer",33,"turbidity","NTU"
"Central Delta","Summer",36,"turbidity","NTU"
"Central Delta","Summer",31,"turbidity","NTU"
"North Delta","Summer",6.7,"turbidity","NTU"
"Central Delta","Summer",18,"turbidity","NTU"
"Central Delta","Summer",27,"turbidity","NTU"
"Central Delta","Summer",25,"turbidity","NTU"
"South Delta","Summer",8.6,"turbidity","NTU"
"Sacramento River","Summer",65,"turbidity","NTU"
"North Delta","Summer",40,"turbidity","NTU"
"Sacramento River","Summer",27,"turbidity","NTU"
"North Delta","Summer",2.7,"turbidity","NTU"
"Central Delta","Summer",35,"turbidity","NTU"
"Central Delta","Summer",25,"turbidity","NTU"
"North Delta","Summer",25,"turbidity","NTU"
"Central Delta","Summer",6.1,"turbidity","NTU"
"South Delta","Summer",4.4,"turbidity","NTU"
"Sacramento River","Fall",22,"turbidity","NTU"
"North Delta","Fall",4.7,"turbidity","NTU"
"Central Delta","Fall",26,"turbidity","NTU"
"Central Delta","Fall",17,"turbidity","NTU"
"Central Delta","Fall",9.2,"turbidity","NTU"
"South Delta","Fall",4.8,"turbidity","NTU"
"Sacramento River","Fall",45,"turbidity","NTU"
"South Delta","Fall",1.7,"turbidity","NTU"
"Central Delta","Fall",23,"turbidity","NTU"
"Central Delta","Fall",8.1,"turbidity","NTU"
"Central Delta","Fall",17,"turbidity","NTU"
"Sacramento River","Fall",4.6,"turbidity","NTU"
"Central Delta","Fall",6.5,"turbidity","NTU"
"Central Delta","Fall",18,"turbidity","NTU"
"Central Delta","Fall",7.9,"turbidity","NTU"
"North Delta","Fall",8.6,"turbidity","NTU"
"North Delta","Fall",12,"turbidity","NTU"
"South Delta","Fall",4.3,"turbidity","NTU"
"Sacramento River","Fall",33,"turbidity","NTU"
"North Delta","Winter",24,"turbidity","NTU"
"Sacramento River","Winter",40,"turbidity","NTU"
"Central Delta","Winter",45,"turbidity","NTU"
"Central Delta","Winter",35,"turbidity","NTU"
"Central Delta","Winter",180,"turbidity","NTU"
"South Delta","Winter",4.5,"turbidity","NTU"
"Sacramento River","Winter",37,"turbidity","NTU"
"North Delta","Winter",6.5,"turbidity","NTU"
"Central Delta","Winter",170,"turbidity","NTU"
"Central Delta","Winter",29,"turbidity","NTU"
"Central Delta","Winter",8.4,"turbidity","NTU"
"South Delta","Winter",2.6,"turbidity","NTU"
"Sacramento River","Winter",17,"turbidity","NTU"
"Sacramento River","Winter",70,"turbidity","NTU"
"North Delta","Winter",210,"turbidity","NTU"
"Sacramento River","Winter",7.5,"turbidity","NTU"
"Central Delta","Winter",170,"turbidity","NTU"
"South Delta","Winter",5,"turbidity","NTU"
"Central Delta","Winter",22,"turbidity","NTU"
"Central Delta","Winter",25,"turbidity","NTU"
"Central Delta","Spring",18,"turbidity","NTU"
"Central Delta","Spring",30,"turbidity","NTU"
"Central Delta","Spring",35,"turbidity","NTU"
"North Delta","Spring",22,"turbidity","NTU"
"North Delta","Spring",7.4,"turbidity","NTU"
"Sacramento River","Spring",50,"turbidity","NTU"
"Central Delta","Spring",3.26,"turbidity","NTU"
"Sacramento River","Spring",21.7,"turbidity","NTU"
"Confluence","Spring",11.37,"turbidity","NTU"
"North Delta","Spring",10,"turbidity","NTU"
"Central Delta","Spring",23,"turbidity","NTU"
"South Delta","Spring",24,"turbidity","NTU"
"Central Delta","Spring",50,"turbidity","NTU"
"Central Delta","Spring",75,"turbidity","NTU"
"Sacramento River","Spring",39,"turbidity","NTU"
"Sacramento River","Spring",6.3,"turbidity","NTU"
"North Delta","Spring",29,"turbidity","NTU"
"North Delta","Spring",25,"turbidity","NTU"
"South Delta","Spring",7,"turbidity","NTU"
"Sacramento River","Spring",55,"turbidity","NTU"
"Central Delta","Spring",24,"turbidity","NTU"
"Central Delta","Spring",55,"turbidity","NTU"
"Central Delta","Spring",70,"turbidity","NTU"
"Sacramento River","Summer",32,"turbidity","NTU"
"Central Delta","Summer",34,"turbidity","NTU"
"North Delta","Summer",25,"turbidity","NTU"
"Central Delta","Summer",130,"turbidity","NTU"
"Central Delta","Summer",21,"turbidity","NTU"
"South Delta","Summer",0.65,"turbidity","NTU"
"North Delta","Summer",26,"turbidity","NTU"
"South Delta","Summer",0.7,"turbidity","NTU"
"Central Delta","Summer",30,"turbidity","NTU"
"Central Delta","Summer",14,"turbidity","NTU"
"Central Delta","Summer",280,"turbidity","NTU"
"Sacramento River","Summer",6.7,"turbidity","NTU"
"Central Delta","Summer",16,"turbidity","NTU"
"North Delta","Summer",14,"turbidity","NTU"
"Central Delta","Summer",11,"turbidity","NTU"
"North Delta","Summer",8,"turbidity","NTU"
"North Delta","Summer",9.1,"turbidity","NTU"
"Central Delta","Summer",14,"turbidity","NTU"
"Central Delta","Summer",85,"turbidity","NTU"
"Central Delta","Summer",23,"turbidity","NTU"
"South Delta","Summer",0.9,"turbidity","NTU"
"Sacramento River","Summer",33,"turbidity","NTU"
"Sacramento River","Fall",40,"turbidity","NTU"
"Central Delta","Fall",29,"turbidity","NTU"
"Central Delta","Fall",12,"turbidity","NTU"
"South Delta","Fall",1.8,"turbidity","NTU"
"North Delta","Fall",21,"turbidity","NTU"
"Central Delta","Fall",240,"turbidity","NTU"
"Sacramento River","Fall",7.6,"turbidity","NTU"
"Central Delta","Fall",6.6,"turbidity","NTU"
"North Delta","Fall",16.3,"turbidity","NTU"
"Central Delta","Fall",12.5,"turbidity","NTU"
"South Delta","Fall",2,"turbidity","NTU"
"Central Delta","Fall",25,"turbidity","NTU"
"Central Delta","Fall",9,"turbidity","NTU"
"Central Delta","Fall",95,"turbidity","NTU"
"Central Delta","Fall",5.6,"turbidity","NTU"
"Central Delta","Fall",4.5,"turbidity","NTU"
"Sacramento River","Fall",6.6,"turbidity","NTU"
"North Delta","Fall",14.4,"turbidity","NTU"
"Central Delta","Fall",6.6,"turbidity","NTU"
"Sacramento River","Fall",5.9,"turbidity","NTU"
"Central Delta","Fall",6.5,"turbidity","NTU"
"North Delta","Fall",21.5,"turbidity","NTU"
"Central Delta","Fall",700,"turbidity","NTU"
"South Delta","Fall",37,"turbidity","NTU"
"Central Delta","Winter",0.95,"turbidity","NTU"
"South Delta","Winter",110,"turbidity","NTU"
"Central Delta","Winter",300,"turbidity","NTU"
"Central Delta","Winter",3,"turbidity","NTU"
"Central Delta","Winter",22.5,"turbidity","NTU"
"Sacramento River","Winter",9.8,"turbidity","NTU"
"North Delta","Winter",8.4,"turbidity","NTU"
"Central Delta","Winter",30,"turbidity","NTU"
"South Delta","Winter",90,"turbidity","NTU"
"Central Delta","Winter",110,"turbidity","NTU"
"Central Delta","Winter",90,"turbidity","NTU"
"Sacramento River","Winter",90.4,"turbidity","NTU"
"North Delta","Winter",731.9,"turbidity","NTU"
"Central Delta","Winter",68.2,"turbidity","NTU"
"Central Delta","Winter",7.6,"turbidity","NTU"
"North Delta","Winter",7.2,"turbidity","NTU"
"Central Delta","Winter",7.4,"turbidity","NTU"
"Central Delta","Winter",10.6,"turbidity","NTU"
"Sacramento River","Winter",14.1,"turbidity","NTU"
"Central Delta","Winter",170,"turbidity","NTU"
"Central Delta","Winter",35,"turbidity","NTU"
"Central Delta","Winter",370,"turbidity","NTU"
"Central Delta","Spring",4.6,"turbidity","NTU"
"Sacramento River","Spring",76.5,"turbidity","NTU"
"North Delta","Spring",158,"turbidity","NTU"
"Central Delta","Spring",85,"turbidity","NTU"
"Central Delta","Spring",55,"turbidity","NTU"
"South Delta","Spring",50,"turbidity","NTU"
"Central Delta","Spring",70,"turbidity","NTU"
"Sacramento River","Spring",1,"turbidity","NTU"
"Central Delta","Spring",828.1,"turbidity","NTU"
"Central Delta","Spring",0.1,"turbidity","NTU"
"North Delta","Spring",2.4,"turbidity","NTU"
"Central Delta","Spring",26,"turbidity","NTU"
"Central Delta","Spring",30,"turbidity","NTU"
"Central Delta","Spring",800,"turbidity","NTU"
"Central Delta","Spring",170,"turbidity","NTU"
"Central Delta","Spring",23,"turbidity","NTU"
"Central Delta","Spring",17,"turbidity","NTU"
"South Delta","Spring",6.4,"turbidity","NTU"
"Central Delta","Spring",66,"turbidity","NTU"
"Central Delta","Spring",0,"turbidity","NTU"
"Sacramento River","Spring",0,"turbidity","NTU"
"North Delta","Spring",0,"turbidity","NTU"
"Central Delta","Summer",0,"turbidity","NTU"
"Sacramento River","Summer",2.1,"turbidity","NTU"
"North Delta","Summer",10.7,"turbidity","NTU"
"Central Delta","Summer",4.8,"turbidity","NTU"
"Central Delta","Summer",24,"turbidity","NTU"
"Central Delta","Summer",23,"turbidity","NTU"
"Central Delta","Summer",140,"turbidity","NTU"
"South Delta","Summer",9.5,"turbidity","NTU"
"Central Delta","Summer",1.3,"turbidity","NTU"
"North Delta","Summer",13.6,"turbidity","NTU"
"Central Delta","Summer",0.1,"turbidity","NTU"
"Sacramento River","Summer",3.2,"turbidity","NTU"
"Central Delta","Summer",25,"turbidity","NTU"
"Central Delta","Summer",180,"turbidity","NTU"
"South Delta","Summer",3.8,"turbidity","NTU"
"Central Delta","Summer",20,"turbidity","NTU"
"Central Delta","Summer",16,"turbidity","NTU"
"Central Delta","Summer",65,"turbidity","NTU"
"South Delta","Summer",3.8,"turbidity","NTU"
"Central Delta","Summer",32,"turbidity","NTU"
"Central Delta","Summer",0,"turbidity","NTU"
"Sacramento River","Summer",0.9,"turbidity","NTU"
"Central Delta","Summer",13.9,"turbidity","NTU"
"North Delta","Summer",3.2,"turbidity","NTU"
"Central Delta","Fall",0,"turbidity","NTU"
"Sacramento River","Fall",0,"turbidity","NTU"
"Central Delta","Fall",0,"turbidity","NTU"
"North Delta","Fall",0.8,"turbidity","NTU"
"Central Delta","Fall",7.8,"turbidity","NTU"
"Central Delta","Fall",31,"turbidity","NTU"
"South Delta","Fall",3.6,"turbidity","NTU"
"Central Delta","Fall",150,"turbidity","NTU"
"Central Delta","Fall",40,"turbidity","NTU"
"Central Delta","Fall",26,"turbidity","NTU"
"Central Delta","Fall",18,"turbidity","NTU"
"Sacramento River","Winter",550,"turbidity","NTU"
"South Delta","Winter",45,"turbidity","NTU"
"Sacramento River","Winter",70.4,"turbidity","NTU"
"North Delta","Winter",175,"turbidity","NTU"
"Central Delta","Winter",0,"turbidity","NTU"
"Central Delta","Winter",0.4,"turbidity","NTU"
"Central Delta","Winter",170,"turbidity","NTU"
"Central Delta","Winter",32,"turbidity","NTU"
"Central Delta","Winter",650,"turbidity","NTU"
"Central Delta","Winter",55,"turbidity","NTU"
"Central Delta","Winter",140,"turbidity","NTU"
"Central Delta","Winter",36,"turbidity","NTU"
"Sacramento River","Winter",32.7,"turbidity","NTU"
"Central Delta","Winter",28.3,"turbidity","NTU"
"Central Delta","Winter",6.9,"turbidity","NTU"
"North Delta","Winter",208,"turbidity","NTU"
"Sacramento River","Winter",500,"turbidity","NTU"
"South Delta","Winter",55,"turbidity","NTU"
"Central Delta","Winter",6.2,"turbidity","NTU"
"Central Delta","Winter",47,"turbidity","NTU"
"Sacramento River","Winter",26.5,"turbidity","NTU"
"North Delta","Winter",3.1,"turbidity","NTU"
"Central Delta","Winter",70,"turbidity","NTU"
"Central Delta","Winter",50,"turbidity","NTU"
"Central Delta","Winter",45,"turbidity","NTU"
"South Delta","Winter",3.2,"turbidity","NTU"
"Central Delta","Spring",5.4,"turbidity","NTU"
"Sacramento River","Spring",30.2,"turbidity","NTU"
"Central Delta","Spring",5.7,"turbidity","NTU"
"North Delta","Spring",0.3,"turbidity","NTU"
"Central Delta","Spring",50,"turbidity","NTU"
"South Delta","Spring",10,"turbidity","NTU"
"Central Delta","Spring",40,"turbidity","NTU"
"Central Delta","Spring",70,"turbidity","NTU"
"Sacramento River","Spring",1400,"turbidity","NTU"
"Central Delta","Spring",37,"turbidity","NTU"
"Central Delta","Spring",32,"turbidity","NTU"
"Central Delta","Spring",310,"turbidity","NTU"
"South Delta","Spring",3.1,"turbidity","NTU"
"Central Delta","Spring",1.2,"turbidity","NTU"
"Sacramento River","Spring",8.8,"turbidity","NTU"
"Central Delta","Spring",2,"turbidity","NTU"
"North Delta","Spring",0.3,"turbidity","NTU"
"Central Delta","Spring",1.7,"turbidity","NTU"
"Sacramento River","Spring",13.2,"turbidity","NTU"
"North Delta","Spring",0.1,"turbidity","NTU"
"Central Delta","Spring",3.8,"turbidity","NTU"
"South Delta","Spring",2.8,"turbidity","NTU"
"Central Delta","Spring",34,"turbidity","NTU"
"Central Delta","Spring",26,"turbidity","NTU"
"Central Delta","Spring",180,"turbidity","NTU"
"North Delta","Summer",0.1,"turbidity","NTU"
"Central Delta","Summer",2.7,"turbidity","NTU"
"Sacramento River","Summer",9.5,"turbidity","NTU"
"Central Delta","Summer",5.5,"turbidity","NTU"
"Central Delta","Summer",55,"turbidity","NTU"
"Central Delta","Summer",40,"turbidity","NTU"
"Central Delta","Summer",16,"turbidity","NTU"
"South Delta","Summer",30,"turbidity","NTU"
"Central Delta","Summer",24,"turbidity","NTU"
"Central Delta","Summer",70,"turbidity","NTU"
"Central Delta","Summer",10,"turbidity","NTU"
"South Delta","Summer",1.7,"turbidity","NTU"
"South Delta","Summer",3.6,"turbidity","NTU"
"Central Delta","Summer",40,"turbidity","NTU"
"Central Delta","Summer",9.4,"turbidity","NTU"
"Central Delta","Summer",180,"turbidity","NTU"
"South Delta","Fall",0.7,"turbidity","NTU"
"Central Delta","Fall",6.4,"turbidity","NTU"
"Central Delta","Fall",38,"turbidity","NTU"
"Central Delta","Fall",450,"turbidity","NTU"
"Central Delta","Fall",40,"turbidity","NTU"
"South Delta","Fall",0.6,"turbidity","NTU"
"Central Delta","Fall",250,"turbidity","NTU"
"Central Delta","Fall",240,"turbidity","NTU"
"Confluence","Fall",22,"turbidity","NTU"
"Confluence","Fall",8,"turbidity","NTU"
"Confluence","Fall",26,"turbidity","NTU"
"Confluence","Fall",10,"turbidity","NTU"
"Confluence","Fall",11,"turbidity","NTU"
"Confluence","Fall",10,"turbidity","NTU"
"Confluence","Fall",64,"turbidity","NTU"
"Confluence","Fall",15,"turbidity","NTU"
"Confluence","Fall",15,"turbidity","NTU"
"Sacramento River","Fall",85,"turbidity","NTU"
"Central Delta","Fall",6.9,"turbidity","NTU"
"Central Delta","Fall",28,"turbidity","NTU"
"Central Delta","Fall",80,"turbidity","NTU"
"Sacramento River","Fall",30,"turbidity","NTU"
"North Delta","Fall",9.7,"turbidity","NTU"
"North Delta","Fall",16,"turbidity","NTU"
"Central Delta","Winter",90,"turbidity","NTU"
"Central Delta","Winter",18,"turbidity","NTU"
"Central Delta","Winter",37,"turbidity","NTU"
"North Delta","Winter",9.2,"turbidity","NTU"
"Sacramento River","Winter",300,"turbidity","NTU"
"Sacramento River","Winter",24,"turbidity","NTU"
"Central Delta","Winter",29,"turbidity","NTU"
"Central Delta","Winter",150,"turbidity","NTU"
"Central Delta","Winter",65,"turbidity","NTU"
"South Delta","Winter",2.6,"turbidity","NTU"
"North Delta","Winter",12,"turbidity","NTU"
"North Delta","Winter",6,"turbidity","NTU"
"Central Delta","Winter",75,"turbidity","NTU"
"Central Delta","Winter",130,"turbidity","NTU"
"South Delta","Winter",8.2,"turbidity","NTU"
"Central Delta","Winter",23,"turbidity","NTU"
"Confluence","Winter",2.9,"turbidity","NTU"
"Confluence","Winter",4.5,"turbidity","NTU"
"Confluence","Winter",1.1,"turbidity","NTU"
"Confluence","Winter",1.3,"turbidity","NTU"
"Confluence","Winter",1.3,"turbidity","NTU"
"Confluence","Winter",4.6,"turbidity","NTU"
"Confluence","Winter",1.6,"turbidity","NTU"
"Sacramento River","Spring",380,"turbidity","NTU"
"Sacramento River","Spring",37,"turbidity","NTU"
"Sacramento River","Spring",35,"turbidity","NTU"
"Sacramento River","Spring",50,"turbidity","NTU"
"Sacramento River","Spring",45,"turbidity","NTU"
"North Delta","Spring",19,"turbidity","NTU"
"Central Delta","Spring",24,"turbidity","NTU"
"Central Delta","Spring",14,"turbidity","NTU"
"Central Delta","Spring",45,"turbidity","NTU"
"South Delta","Spring",4,"turbidity","NTU"
"North Delta","Spring",6.1,"turbidity","NTU"
"Confluence","Spring",163,"turbidity","NTU"
"Confluence","Spring",13.9,"turbidity","NTU"
"Confluence","Spring",147,"turbidity","NTU"
"Confluence","Spring",229,"turbidity","NTU"
"Confluence","Spring",156,"turbidity","NTU"
"Confluence","Spring",165,"turbidity","NTU"
"Confluence","Spring",26.5,"turbidity","NTU"
"Confluence","Spring",168,"turbidity","NTU"
"Confluence","Spring",12.2,"turbidity","NTU"
"Confluence","Spring",125,"turbidity","NTU"
"Central Delta","Spring",100,"turbidity","NTU"
"Central Delta","Spring",19,"turbidity","NTU"
"Central Delta","Spring",120,"turbidity","NTU"
"South Delta","Spring",14,"turbidity","NTU"
"North Delta","Spring",7.8,"turbidity","NTU"
"Sacramento River","Spring",36,"turbidity","NTU"
"Confluence","Spring",4.7,"turbidity","NTU"
"Confluence","Spring",2.7,"turbidity","NTU"
"Confluence","Spring",2.9,"turbidity","NTU"
"Confluence","Spring",9.5,"turbidity","NTU"
"Confluence","Spring",4.4,"turbidity","NTU"
"Confluence","Spring",13.8,"turbidity","NTU"
"Confluence","Spring",4.3,"turbidity","NTU"
"Confluence","Spring",5.6,"turbidity","NTU"
"Confluence","Spring",2.58,"turbidity","NTU"
"Confluence","Spring",2.54,"turbidity","NTU"
"Confluence","Spring",45.85,"turbidity","NTU"
"Confluence","Spring",11.25,"turbidity","NTU"
"Sacramento River","Spring",60,"turbidity","NTU"
"Central Delta","Spring",360,"turbidity","NTU"
"Central Delta","Spring",30,"turbidity","NTU"
"North Delta","Spring",12,"turbidity","NTU"
"North Delta","Spring",13,"turbidity","NTU"
"Central Delta","Spring",14,"turbidity","NTU"
"South Delta","Spring",2.4,"turbidity","NTU"
"Confluence","Spring",1.61,"turbidity","NTU"
"Confluence","Spring",17.2,"turbidity","NTU"
"Confluence","Spring",6.54,"turbidity","NTU"
"Confluence","Spring",5.15,"turbidity","NTU"
"Sacramento River","Summer",4.32,"turbidity","NTU"
"Sacramento River","Summer",5.32,"turbidity","NTU"
"Sacramento River","Summer",3.27,"turbidity","NTU"
"Sacramento River","Summer",6,"turbidity","NTU"
"Sacramento River","Summer",6.56,"turbidity","NTU"
"Sacramento River","Summer",5.92,"turbidity","NTU"
"Sacramento River","Summer",5.53,"turbidity","NTU"
"Sacramento River","Summer",150,"turbidity","NTU"
"North Delta","Summer",4,"turbidity","NTU"
"South Delta","Summer",2.4,"turbidity","NTU"
"Central Delta","Summer",9.4,"turbidity","NTU"
"Central Delta","Summer",12,"turbidity","NTU"
"Central Delta","Summer",34,"turbidity","NTU"
"Sacramento River","Summer",5.43,"turbidity","NTU"
"Sacramento River","Summer",6.18,"turbidity","NTU"
"Sacramento River","Summer",7.95,"turbidity","NTU"
"Sacramento River","Summer",2.2,"turbidity","NTU"
"Sacramento River","Summer",7.64,"turbidity","NTU"
"Sacramento River","Summer",8.39,"turbidity","NTU"
"Sacramento River","Summer",5.88,"turbidity","NTU"
"Sacramento River","Summer",8.06,"turbidity","NTU"
"Sacramento River","Summer",6.07,"turbidity","NTU"
"Sacramento River","Summer",6.87,"turbidity","NTU"
"Sacramento River","Summer",3.68,"turbidity","NTU"
"Sacramento River","Summer",6.93,"turbidity","NTU"
"Sacramento River","Summer",6.44,"turbidity","NTU"
"Sacramento River","Summer",6.15,"turbidity","NTU"
"Sacramento River","Summer",5.17,"turbidity","NTU"
"Sacramento River","Summer",11.6,"turbidity","NTU"
"Sacramento River","Summer",5.85,"turbidity","NTU"
"Sacramento River","Summer",8.16,"turbidity","NTU"
"Sacramento River","Summer",5.46,"turbidity","NTU"
"Sacramento River","Summer",2.95,"turbidity","NTU"
"Sacramento River","Summer",5.73,"turbidity","NTU"
"Sacramento River","Summer",5.94,"turbidity","NTU"
"Sacramento River","Summer",10.1,"turbidity","NTU"
"Sacramento River","Summer",6.74,"turbidity","NTU"
"Central Delta","Summer",36,"turbidity","NTU"
"Central Delta","Summer",9.5,"turbidity","NTU"
"Sacramento River","Summer",65,"turbidity","NTU"
"North Delta","Summer",4.4,"turbidity","NTU"
"South Delta","Summer",2.1,"turbidity","NTU"
"Central Delta","Summer",9.7,"turbidity","NTU"
"Sacramento River","Summer",9.22,"turbidity","NTU"
"Sacramento River","Summer",8.86,"turbidity","NTU"
"Sacramento River","Summer",10.8,"turbidity","NTU"
"Sacramento River","Summer",8.92,"turbidity","NTU"
"Sacramento River","Summer",13.4,"turbidity","NTU"
"Sacramento River","Summer",2.87,"turbidity","NTU"
"Sacramento River","Summer",10.3,"turbidity","NTU"
"Sacramento River","Summer",7.4,"turbidity","NTU"
"Confluence","Summer",2.3,"turbidity","NTU"
"Confluence","Summer",13.2,"turbidity","NTU"
"Confluence","Summer",24.1,"turbidity","NTU"
"Confluence","Summer",1.75,"turbidity","NTU"
"Confluence","Summer",10.1,"turbidity","NTU"
