"Subregion","Season","Turbidity_NTU","Analyte","Unit"
"Central Delta","Winter",3.8,"turbidity","NTU"
"Confluence","Winter",17.5,"turbidity","NTU"
"Central Delta","Winter",2.6,"turbidity","NTU"
"Central Delta","Winter",6.8,"turbidity","NTU"
"Central Delta","Winter",8,"turbidity","NTU"
"Central Delta","Winter",8.2,"turbidity","NTU"
"Central Delta","Winter",8,"turbidity","NTU"
"South Delta","Winter",3.2,"turbidity","NTU"
"Sacramento River","Winter",5.2,"turbidity","NTU"
"Sacramento River","Winter",5.1,"turbidity","NTU"
"Central Delta","Winter",4.05,"turbidity","NTU"
"North Delta","Winter",30,"turbidity","NTU"
"North Delta","Winter",19,"turbidity","NTU"
"Central Delta","Winter",2.6,"turbidity","NTU"
"Sacramento River","Winter",6.6,"turbidity","NTU"
"Central Delta","Winter",4.7,"turbidity","NTU"
"North Delta","Winter",10.9,"turbidity","NTU"
"Sacramento River","Winter",24,"turbidity","NTU"
"North Delta","Winter",7.9,"turbidity","NTU"
"Central Delta","Winter",2.4,"turbidity","NTU"
"Sacramento River","Winter",17.9,"turbidity","NTU"
"Sacramento River","Winter",8.1,"turbidity","NTU"
"Central Delta","Winter",2.3,"turbidity","NTU"
"North Delta","Winter",11.5,"turbidity","NTU"
"North Delta","Winter",7.6,"turbidity","NTU"
"Central Delta","Winter",3.3,"turbidity","NTU"
"Sacramento River","Winter",6.5,"turbidity","NTU"
"Central Delta","Winter",4,"turbidity","NTU"
"Central Delta","Winter",35,"turbidity","NTU"
"Central Delta","Winter",16,"turbidity","NTU"
"Central Delta","Winter",34,"turbidity","NTU"
"South Delta","Winter",5.3,"turbidity","NTU"
"Sacramento River","Winter",19,"turbidity","NTU"
"Sacramento River","Winter",17,"turbidity","NTU"
"North Delta","Winter",19,"turbidity","NTU"
"Sacramento River","Winter",70,"turbidity","NTU"
"North Delta","Winter",280,"turbidity","NTU"
"Sacramento River","Winter",208,"turbidity","NTU"
"Sacramento River","Winter",191,"turbidity","NTU"
"North Delta","Winter",224,"turbidity","NTU"
"Sacramento River","Winter",145,"turbidity","NTU"
"Confluence","Winter",287,"turbidity","NTU"
"Sacramento River","Winter",175,"turbidity","NTU"
"North Delta","Winter",378,"turbidity","NTU"
"North Delta","Winter",204,"turbidity","NTU"
"North Delta","Winter",115,"turbidity","NTU"
"Central Delta","Winter",198,"turbidity","NTU"
"Sacramento River","Winter",152,"turbidity","NTU"
"Confluence","Winter",212,"turbidity","NTU"
"Central Delta","Winter",6,"turbidity","NTU"
"Central Delta","Winter",37,"turbidity","NTU"
"Confluence","Winter",67,"turbidity","NTU"
"Confluence","Winter",63,"turbidity","NTU"
"Central Delta","Winter",21,"turbidity","NTU"
"Sacramento River","Winter",123,"turbidity","NTU"
"Central Delta","Winter",170,"turbidity","NTU"
"Central Delta","Winter",88,"turbidity","NTU"
"South Delta","Winter",1.2,"turbidity","NTU"
"Central Delta","Winter",12,"turbidity","NTU"
"Sacramento River","Winter",76,"turbidity","NTU"
"Sacramento River","Winter",91,"turbidity","NTU"
"North Delta","Winter",41,"turbidity","NTU"
"North Delta","Winter",2,"turbidity","NTU"
"Sacramento River","Winter",25,"turbidity","NTU"
"North Delta","Winter",25.8,"turbidity","NTU"
"North Delta","Winter",58.5,"turbidity","NTU"
"Confluence","Winter",12.3,"turbidity","NTU"
"North Delta","Winter",39.7,"turbidity","NTU"
"Central Delta","Winter",19.3,"turbidity","NTU"
"Sacramento River","Winter",22,"turbidity","NTU"
"Confluence","Winter",22.3,"turbidity","NTU"
"Sacramento River","Winter",35.3,"turbidity","NTU"
"Sacramento River","Winter",16.4,"turbidity","NTU"
"North Delta","Winter",84.1,"turbidity","NTU"
"Confluence","Winter",23.4,"turbidity","NTU"
"Sacramento River","Winter",27.7,"turbidity","NTU"
"Sacramento River","Winter",12.7,"turbidity","NTU"
"Central Delta","Winter",31.9,"turbidity","NTU"
